STUDENT_ID,SCHEMA_ID,ARTEFACT_DIMENSION,ALGORITHM_DIMENSION,AGE_CATEGORY,AGE,GENDER,SESSION_ID,HARMOS_GRADE,SCHOOL_ID,CAT_SCORE,DOMAIN,CANTON_NAME
10,9,2,2,From 10 to 13 years old,12,Male,2.0,9,C,4,Unplugged,Ticino (TI)
10,10,2,2,From 10 to 13 years old,12,Male,2.0,9,C,4,Unplugged,Ticino (TI)
10,11,2,2,From 10 to 13 years old,12,Male,2.0,9,C,4,Unplugged,Ticino (TI)
10,12,2,0,From 10 to 13 years old,12,Male,2.0,9,C,2,Unplugged,Ticino (TI)
11,1,2,2,From 10 to 13 years old,12,Male,2.0,9,C,4,Unplugged,Ticino (TI)
11,2,1,2,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
11,3,1,2,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
11,4,1,1,From 10 to 13 years old,12,Male,2.0,9,C,2,Unplugged,Ticino (TI)
11,5,1,1,From 10 to 13 years old,12,Male,2.0,9,C,2,Unplugged,Ticino (TI)
11,6,1,1,From 10 to 13 years old,12,Male,2.0,9,C,2,Unplugged,Ticino (TI)
11,7,1,2,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
11,8,1,2,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
11,9,1,0,From 10 to 13 years old,12,Male,2.0,9,C,1,Unplugged,Ticino (TI)
11,10,1,2,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
11,11,1,2,From 10 to 13 years old,12,Male,2.0,9,C,3,Unplugged,Ticino (TI)
11,12,1,0,From 10 to 13 years old,12,Male,2.0,9,C,1,Unplugged,Ticino (TI)
12,1,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
12,2,2,1,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
12,3,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
12,4,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
12,5,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
12,6,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
12,7,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
12,8,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
12,9,1,2,From 10 to 13 years old,12,Female,2.0,9,C,3,Unplugged,Ticino (TI)
12,10,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
12,11,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
12,12,1,1,From 10 to 13 years old,12,Female,2.0,9,C,2,Unplugged,Ticino (TI)
13,1,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
13,2,1,1,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
13,3,1,1,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
13,4,1,1,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
13,5,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
13,6,1,1,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
13,7,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
13,8,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
13,9,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
13,10,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
13,11,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
13,12,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
14,1,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,2,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,3,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,4,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,5,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,6,2,1,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,7,1,2,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,8,1,2,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,9,1,2,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,10,1,2,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,11,1,2,From 10 to 13 years old,13,Male,2.0,9,C,3,Unplugged,Ticino (TI)
14,12,1,1,From 10 to 13 years old,13,Male,2.0,9,C,2,Unplugged,Ticino (TI)
15,1,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
15,2,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
15,3,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
15,4,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
15,5,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
15,6,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
15,7,2,1,From 10 to 13 years old,13,Female,2.0,9,C,3,Unplugged,Ticino (TI)
15,8,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
15,9,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
15,10,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
15,11,2,2,From 10 to 13 years old,13,Female,2.0,9,C,4,Unplugged,Ticino (TI)
15,12,2,0,From 10 to 13 years old,13,Female,2.0,9,C,2,Unplugged,Ticino (TI)
16,1,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
16,2,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
16,3,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
16,4,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
16,5,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
16,6,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
16,7,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
16,8,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
16,9,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
16,10,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
16,11,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
16,12,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
17,1,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
17,2,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
17,3,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
17,4,2,2,From 14 to 16 years old,14,Female,3.0,11,C,4,Unplugged,Ticino (TI)
17,5,2,1,From 14 to 16 years old,14,Female,3.0,11,C,3,Unplugged,Ticino (TI)
