ALGORITHM_ID,SCHEMA_ID,ALGORITHM,ALGORITHM_DIMENSION,PAINTUPMONOCHROMATIC,PAINTDIAGONALUPLEFTPOLYCHROMATIC,PAINTZIGZAGLEFTDOWNUPMONOCHROMATIC,PAINTRIGHTPOLYCHROMATIC,PAINTLDOWNRIGHTMONOCHROMATIC,PAINTDIAGONALUPLEFTMONOCHROMATIC,PAINTZIGZAGRIGHTUPDOWNMONOCHROMATIC,PAINTUPPOLYCHROMATIC,COPY,MIRRORCROSSVERTICAL,PAINTLUPRIGHTMONOCHROMATIC,PAINTZIGZAGDOWNLEFTRIGHTMONOCHROMATIC,PAINTDOT,PAINTLEFTPOLYCHROMATIC,PAINTCUSTOMPATTERNMONOCHROMATIC,PAINTZIGZAGDOWNRIGHTLEFTPOLYCHROMATIC,PAINTLRIGHTUPMONOCHROMATIC,PAINTZIGZAGDOWNRIGHTLEFTMONOCHROMATIC,PAINTLRIGHTDOWNMONOCHROMATIC,PAINTSQUARELEFTUPRIGHTMONOCHROMATIC,PAINTSQUAREDOWNRIGHTUPMONOCHROMATIC,PAINTLDOWNLEFTMONOCHROMATIC,PAINTZIGZAGUPRIGHTLEFTMONOCHROMATIC,PAINTSQUARELEFTDOWNRIGHTPOLYCHROMATIC,PAINTZIGZAGUPLEFTRIGHTPOLYCHROMATIC,PAINTSQUARERIGHTDOWNLEFTMONOCHROMATIC,PAINTLRIGHTDOWNPOLYCHROMATIC,MIRRORCROSSHORIZONTAL,PAINTZIGZAGRIGHTUPDOWNPOLYCHROMATIC,PAINTDOWNPOLYCHROMATIC,PAINTZIGZAGRIGHTDOWNUPMONOCHROMATIC,PAINTDOWNMONOCHROMATIC,PAINTZIGZAGLEFTUPDOWNMONOCHROMATIC,PAINTSQUARERIGHTUPLEFTMONOCHROMATIC,PAINTSQUAREDOWNRIGHTUPPOLYCHROMATIC,PAINTSQUAREUPRIGHTDOWNPOLYCHROMATIC,PAINTLLEFTUPMONOCHROMATIC,PAINTSQUAREUPLEFTDOWNMONOCHROMATIC,PAINTLUPLEFTMONOCHROMATIC,PAINTSQUARERIGHTUPLEFTPOLYCHROMATIC,PAINTSQUARERIGHTDOWNLEFTPOLYCHROMATIC,PAINTDIAGONALUPRIGHTPOLYCHROMATIC,PAINTLDOWNLEFTPOLYCHROMATIC,PAINTCUSTOMPATTERNPOLYCHROMATIC,PAINTSQUARELEFTUPRIGHTPOLYCHROMATIC,PAINTRIGHTMONOCHROMATIC,PAINTLUPLEFTPOLYCHROMATIC,PAINTZIGZAGUPRIGHTLEFTPOLYCHROMATIC,PAINTSQUAREUPRIGHTDOWNMONOCHROMATIC,MIRRORCELLSHORIZONTAL,PAINTDIAGONALDOWNLEFTMONOCHROMATIC,PAINTLLEFTDOWNPOLYCHROMATIC,PAINTLDOWNRIGHTPOLYCHROMATIC,MIRRORCOMMANDSVERTICAL,PAINTDIAGONALDOWNRIGHTPOLYCHROMATIC,PAINTLLEFTDOWNMONOCHROMATIC,PAINTSQUAREUPLEFTDOWNPOLYCHROMATIC,PAINTLLEFTUPPOLYCHROMATIC,PAINTDIAGONALDOWNLEFTPOLYCHROMATIC,PAINTZIGZAGLEFTDOWNUPPOLYCHROMATIC,MIRRORCELLSVERTICAL,PAINTSQUAREDOWNLEFTUPPOLYCHROMATIC,PAINTDIAGONALDOWNRIGHTMONOCHROMATIC,PAINTSQUARELEFTDOWNRIGHTMONOCHROMATIC,PAINTZIGZAGRIGHTDOWNUPPOLYCHROMATIC,PAINTDIAGONALUPRIGHTMONOCHROMATIC,PAINTLEFTMONOCHROMATIC,PAINTSQUAREDOWNLEFTUPMONOCHROMATIC,FILLEMPTY,PAINTZIGZAGLEFTUPDOWNPOLYCHROMATIC,REPEAT,PAINTLRIGHTUPPOLYCHROMATIC,PAINTLUPRIGHTPOLYCHROMATIC,MIRRORCOMMANDSHORIZONTAL,PAINTZIGZAGDOWNLEFTRIGHTPOLYCHROMATIC,PAINTZIGZAGUPLEFTRIGHTMONOCHROMATIC,ALGORITHM_TYPE
21,2,"paint({blue},{f3,e3,d3,d2,d1,c1,c2,c3,b3,a3}),paint({yellow},{f4,e4,d4,d5,d6,c6,c5,c4,b4,a4})",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
22,2,"paint({yellow},{f4,e4,d4,c4,b4,a4,c5,d5,c6,d6}),paint({blue},{f3,e3,d3,c3,b3,a3,c2,d2,c1,d1})",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
23,2,"go(c1),paint({blue},:,l right down),go(d1),paint({blue},:,l right up),fill_empty(yellow)",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1D
24,2,"fill_empty(blue),go(a4),paint({yellow},6,up),go(d5),paint({yellow},2,square down right up)",1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1D
25,2,"go(f3),paint({blue},:,down),go(c1),paint({blue},4,square right up left),fill_empty(yellow)",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1D
26,2,"go(f3),paint({blue},:,down),go(d2),paint({blue},:,down),go(d1),paint({blue},2,down),fill_empty(yellow)",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1D
27,2,"go(f4),paint({yellow},:,down),go(d5),paint({yellow},:,square right down left),go(f3),paint({blue},:,down),go(d2),paint({blue},:,square down left up)",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1D
28,2,"go(a3),paint({blue},:,up),go(a4),paint({yellow},:,up),go(c5),paint({yellow},2,square right up left),go(c1),paint({blue},3,square right up left)",1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
29,2,"paint({blue},{f3,e3,d3,c3,b3,a3,c2,d2,d1,c1}),paint({yellow},{a4,b4,c4,c5,c6,d6,d5,d4,e4,f4})",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
30,2,"paint({blue},{f3,e3,d3,c3,b3,a3,c2,d2,d1,c1}),paint({yellow},{f4,e4,d4,c4,b4,a4,c6,d6,d5,c5})",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1D
